overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate,championship_active,gap_before,gap_after,title_clinched,leader_changed,championship_tension
1.7692307692307692,0.0,0.0,0.1153846153846153,5.717255717255717,British Grand Prix,2020,0.4230769230769231,0.15,1,5.0,30.0,0,0,0.9863
3.75,0.0769230769230769,0.0,0.0,7.296966731898239,70th Anniversary Grand Prix,2020,0.8076923076923077,0.05,1,30.0,30.0,0,0,0.9112
2.9545454545454546,0.0,0.0,0.0,2.1466861598440543,Spanish Grand Prix,2020,0.5454545454545454,0.05,1,30.0,37.0,0,0,0.9038
2.159090909090909,0.0,0.0,0.0454545454545454,3.0529350104821806,Belgian Grand Prix,2020,0.4545454545454545,0.15,1,37.0,47.0,0,0,0.8706
2.8679245283018866,0.0566037735849056,0.0,0.0754716981132075,9.651610644257705,Italian Grand Prix,2020,0.7735849056603774,0.2,1,47.0,47.0,0,0,0.8192
1.3220338983050848,0.0508474576271186,0.0,0.1186440677966101,7.663147792706334,Tuscan Grand Prix,2020,1.1355932203389831,0.4,1,47.0,55.0,0,0,0.7991
2.547169811320755,0.0188679245283018,0.0,0.1132075471698113,3.813340227507756,Russian Grand Prix,2020,0.4528301886792453,0.1,1,55.0,44.0,0,0,0.7356
3.6166666666666663,0.0166666666666666,0.0,0.1,7.00081499592502,Eifel Grand Prix,2020,0.6,0.25,1,44.0,69.0,0,0,0.7582
3.5303030303030303,0.0757575757575757,0.0,0.0,6.493089832181639,Portuguese Grand Prix,2020,0.3939393939393939,0.05,1,69.0,77.0,0,0,0.5577
2.7241379310344827,0.1034482758620689,1.0,0.0689655172413793,8.747753145596166,Turkish Grand Prix,2020,0.7068965517241379,0.2,1,85.0,110.0,1,0,0.1827
3.6842105263157894,0.0350877192982456,0.0,0.087719298245614,6.370023419203747,Bahrain Grand Prix,2020,1.0,0.15,0,110.0,131.0,0,0,0.0
2.367816091954023,0.0344827586206896,0.0,0.1149425287356321,8.841019417475728,Sakhir Grand Prix,2020,0.4482758620689655,0.15,0,131.0,127.0,0,0,0.0
2.018181818181818,0.0,0.0,0.0727272727272727,1.0801630434782612,Abu Dhabi Grand Prix,2020,0.4181818181818181,0.05,0,127.0,124.0,0,0,0.0
4.071428571428571,0.0535714285714285,0.0,0.1071428571428571,8.418261769270565,Bahrain Grand Prix,2021,0.7678571428571429,0.2,1,0.0,7.0,0,0,1.0
2.257575757575758,0.0454545454545454,0.0,0.0606060606060606,3.979279891304348,Portuguese Grand Prix,2021,0.9090909090909092,0.05,1,1.0,8.0,0,0,0.9982
2.984848484848485,0.0454545454545454,0.0,0.0303030303030303,5.325131810193322,Spanish Grand Prix,2021,0.5606060606060606,0.05,1,8.0,14.0,0,0,0.9846
